0,HFO,HFO CCS,LNG,LNG CCS,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3,NH3,NH3,NH3,NH3,NH3,NH3,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,SF,SF,SF,SF,SF,LI-ION,URA,LH2,LH2,LH2,BIOD,BIOD,HVO,MDO,MDO CCS,FERM,FERM,FERM
,1,1,1,1,1a,1b,1c,1d,1e,1f,1g,2a,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1a,1b,1c,2,3,1,1,1,2,3,1a,1b,1a,1,1,1a,1b,1c
,107.402478,184.6327091,167.1056202,244.3358513,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,101.7816543,239.6510844,201.5634943,145.9980785,146.4825388,197.3508709,388.2282311,106.0225565,249.6365462,209.9619732,152.0813318,152.5859779,205.5738238,404.4044074,170.8675787,204.769876,229.0889794,43.57575287,45.24826621,84.7557434,233.6094303,297.190889,257.1609708,303.0128308,340.777916,490.8733577,388.5819683,924.6081098,206.7090875,272.4198763,350.5795887,215.4960843,160.4547074,270.6550546,132.6257873,209.8560184,308.3752968,304.5330364,349.7360996
Onshore,788.0967929,397.5327549,630.8794757,318.7135032,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,864.5830089,444.6590625,100.7817471,-328.2168315,-430.1406403,-610.647634,-676.060427,900.607301,463.1865235,104.9809866,-341.8925329,-448.0631669,-636.0912854,-704.2296114,756.6992771,578.5088021,-92.17653364,37.45914333,-56.95936694,-214.8933524,-161.4397876,412.1957777,259.9618589,117.0457273,409.6992923,101.8504783,311.4080114,12.32810813,855.0701831,285.210535,55.78419617,211.9676927,549.1559538,94.63120953,762.9213457,384.8493072,305.1636191,158.8390436,-17.62241417
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,7.657930698,21.25075769,5.551999756,19.14482674,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,123.6755808,123.6755808,503.9087357,298.2402307,3186.092571,968.9834172,213.897304,128.82873,128.82873,524.904933,310.6669069,3318.846428,1009.357726,222.8096917,0,0,572.7224484,3465.266821,2338.806487,528.8758388,62.21795973,4086.262248,2244.367184,578.0493263,14.35862006,509.2523914,108.4873515,0,46.37834279,58.09497675,278.9209808,1391.761897,4983.092084,1.914114373,6.70068936,20.29351635,4257.224487,2562.109619,527.9717775
,107.5939263,185.1639781,167.2444202,244.814472,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,104.8735438,242.7429739,214.1612127,149.7643606,150.2488209,201.1171529,391.9945131,109.2432748,252.8572645,223.0845965,156.0045423,156.5091884,209.4970343,408.3276179,170.8675787,204.769876,243.4070406,43.75656512,45.51948459,84.98175871,233.7450395,299.2379496,259.2338769,305.109668,341.1368815,503.6046675,391.2941521,924.6081098,207.868546,273.8722507,357.5526132,217.0439436,162.0025667,270.7029074,132.7933045,210.3633563,308.0136723,304.1714119,349.374475
Offshore,789.4369308,401.2516375,631.8510756,322.0638479,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,886.2262356,466.3022892,188.9657759,-301.852857,-403.7766657,-584.2836595,-649.6964524,923.1523287,485.7315512,196.8393499,-314.4300593,-420.6006934,-608.6288119,-676.7671379,756.6992771,578.5088021,8.049894834,38.72482909,-55.06083829,-213.3112452,-160.4905232,426.5252019,274.4722017,131.7235873,412.2120508,190.9696468,330.3932979,12.32810813,863.1863931,295.377156,104.5953678,222.8027074,559.9909685,94.96617955,764.0939664,388.4006726,302.6322476,156.3076721,-20.1537857
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,4.403310151,12.21918567,3.19239986,11.00827538,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,71.11345894,71.11345894,289.747523,234.2134353,3122.065775,904.9566218,149.8705086,74.07651973,74.07651973,301.8203365,243.9723284,3252.151849,942.6631477,156.1151132,0,0,329.3154078,3462.193012,2334.195775,525.0335784,59.91260351,4051.462218,2209.12778,542.4030948,8.256206533,292.820125,62.38022714,0,26.6675471,33.40461163,160.379564,1365.44829,4956.778477,1.100615765,3.852896382,11.6687719,4263.372104,2568.257236,534.1193941
